numero_dpe,date_etablissement_dpe,id_rnb,identifiant_ban,adresse_ban,code_postal_ban,nom_commune_ban,code_departement_ban,type_batiment,periode_construction,annee_construction,surface_habitable_logement,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ep
2633E1526333P,2026-06-08,2TYDGPFRV7CW,33162_0429_00015_a,15A Allée du Moulin a Vent 33320 Eysines,33320,Eysines,33,appartement,1989-2000,,45.4,D,B,195
2633E1534357F,2026-06-08,3N2KQB5V8NA8,33437_5610_00096,96 Avenue du Stade 33350 Saint-Magne-de-Castillon,33350,Saint-Magne-de-Castillon,33,maison,avant 1948,,186.8,C,A,126
2633E1525748C,2026-06-08,234BMSA7Y3Y1,33281_0940_00017,17 Rue Fontaine d'Arlac 33700 Mérignac,33700,Mérignac,33,appartement,1983-1988,,46.3,D,B,233
2633E1537977L,2026-06-08,,33063_4415_00007,7 Rue Hippolyte Minier 33800 Bordeaux,33800,Bordeaux,33,maison,avant 1948,1900,69,C,C,128.3
2633E1536160O,2026-06-08,,33450_0015_01584,1584 Route de Bazas 33840 Saint-Michel-de-Castelnau,33840,Saint-Michel-de-Castelnau,33,maison,avant 1948,,150,E,E,282
2633E1530093F,2026-06-08,,33063_5220_00061,61 Rue de Laseppe 33000 Bordeaux,33000,Bordeaux,33,appartement,1978-1982,,22.9,C,A,166
2633E1527314I,2026-06-08,,33281_2191_00007,7 Rue des Olympiades 33700 Mérignac,33700,Mérignac,33,appartement,1975-1977,,43.8,C,A,154
2633E1529099Z,2026-06-08,F99WWPHRWHNE,33063_6065_00123,123 Cours de la Marne 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,34.1,C,A,163
2633E1525870U,2026-06-08,N9KZJESV34AG,33090_4178_00014,14 Chemin de Cassiot 33610 Canéjan,33610,Canéjan,33,maison,1948-1974,,190.3,D,D,184
2633E1532071H,2026-06-08,,33039_1200_00009,9 Rue Jules Verne 33130 Bègles,33130,Bègles,33,maison,avant 1948,,90,D,B,220
2633E1538907F,2026-06-08,2ZKS8TQTF83Q,33174_0145_00021,21 Rue du port de La Feuillade 33126 Fronsac,33126,Fronsac,33,appartement,avant 1948,,82,C,A,148
2633E1528437N,2026-06-08,G857PX1HRV1K,33075_0098_00010,10 Rue de la Colonne 33520 Bruges,33520,Bruges,33,immeuble,1948-1974,,,E,E,273
2633E1531002E,2026-06-08,8PHGW1HA2T3F,33162_0384_00005,5 Rue Louis Jouvet 33320 Eysines,33320,Eysines,33,maison,2006-2012,,166.5,C,B,154
2633E1535101V,2026-06-08,,33063_3985_00030,30 Cours Georges Clémenceau 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,60.9,D,B,210
2633E1529659N,2026-06-08,WWVXEF35R7JT,33080_0353_00019,19 Rue des Graves 33140 Cadaujac,33140,Cadaujac,33,maison,1989-2000,1989,131.1,D,B,181
2633E1532524S,2026-06-08,QE1C584KRDW5,33063_5220_00061,61 Rue de Laseppe 33000 Bordeaux,33000,Bordeaux,33,immeuble,1975-1977,,,E,C,303
2633E1536559X,2026-06-08,,33065_0116_00015,15 Chemin de Brousse 33270 Bouliac,33270,Bouliac,33,maison,1989-2000,1998,161,C,B,160
2633E1533807B,2026-06-08,CEB3HKDFEWAV,33366_0265_00032,32 Rue Elie Faure 33240 Saint-André-de-Cubzac,33240,Saint-André-de-Cubzac,33,maison,1989-2000,1999,67.6,D,B,198
2633E1531226U,2026-06-08,,33058_B010,Cap de Haut 33390 Blaye,33390,Blaye,33,maison,1983-1988,,120.1,B,A,100
2633E1529540Y,2026-06-08,JGBFSDJ3MWHN,33063_8855,Rue du Tauzin 33000 Bordeaux,33000,Bordeaux,33,appartement,1989-2000,,50.2,C,A,151
2633E1530316U,2026-06-08,QE1C584KRDW5,33063_5220_00061,61 Rue de Laseppe 33000 Bordeaux,33000,Bordeaux,33,appartement,1978-1982,,22.8,C,B,186
2633E1531478M,2026-06-08,EFPZD1TCJEYQ,33162_0121_00016,16 Rue Charles Gounod 33320 Eysines,33320,Eysines,33,maison,1948-1974,,119.8,D,D,152
2633E1528776O,2026-06-08,,33249_0160_00020,20 Passage Carriet 33310 Lormont,33310,Lormont,33,maison,avant 1948,,109.8,C,A,130
2633E1531498G,2026-06-08,4ZJT43R8QFSR,33063_7240_00058,58 Rue Peyronnet 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,13.2,C,A,220
2633E1532347X,2026-06-08,,33522_2580_00003_quater,3quater Rue de la Verite 33400 Talence,33400,Talence,33,maison,1983-1988,,62,D,B,188
2633E1529733J,2026-06-08,7MZGC9D3QY31,33039_0549_00021,21 Allée des Cheminots 33130 Bègles,33130,Bègles,33,appartement,2013-2021,,43.5,C,C,83
2633E1537865D,2026-06-08,,33545_j69zq3,Bourdin 33180 Vertheuil,33180,Vertheuil,33,maison,après 2021,,89,A,A,57
2633E1533441Z,2026-06-08,9ENZS1T2PR98,33063_8820_00022,22 Rue de Taregua 33800 Bordeaux,33800,Bordeaux,33,appartement,1978-1982,,23.7,E,B,303
2633E1533928S,2026-06-08,FCDWWCR5FKE8,33063_1415,Rue Camena d'Almeida 33000 Bordeaux,33000,Bordeaux,33,appartement,1983-1988,,47,C,A,144
2633E1532557Z,2026-06-08,,33522_1150_00023,23 Cours Gambetta 33400 Talence,33400,Talence,33,appartement,avant 1948,1945,46,D,B,237
2633E1531004G,2026-06-08,D76GX1RR9EP6,33249_0222_00001,1 Côte de la Garonne 33310 Lormont,33310,Lormont,33,appartement,2013-2021,2020,45.9,A,A,54
2633E1533697V,2026-06-08,,33063_g5ki1z_00029,29 Rue Duvergier 33200 Bordeaux,33200,Bordeaux,33,appartement,1948-1974,,16,D,B,315
2633E1532890U,2026-06-08,6HB8SJVYQWP9,33433_0240_00025,25 Rue Frederic Chopin 33450 Saint-Loubès,33450,Saint-Loubès,33,maison,2006-2012,2011,100.8,C,B,159
2633E1538667Z,2026-06-08,,33529_0610,Route de Cazaux 33260 La Teste-de-Buch,33260,La Teste-de-Buch,33,maison,avant 1948,,101,F,C,330
2633E1528945B,2026-06-08,GNNBXFF6RNCH,33063_4680_00067,67 Rue Jean Renaud Dandicolle 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,26.4,D,B,273
2633E1536614A,2026-06-08,DQKY64GD43YY,33281_2250_00012,12 Rue Paul Doumer 33700 Mérignac,33700,Mérignac,33,appartement,1975-1977,,20.1,E,D,331
2633E1537606E,2026-06-08,861YPE4TD7WP,33063_6745_00091,91 Rue Notre Dame 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,46,D,B,206
2633E1525769X,2026-06-08,,33281_1310,Avenue Henri Barbusse 33700 Mérignac,33700,Mérignac,33,appartement,2001-2005,,46.5,D,B,184
2633E1536391L,2026-06-08,,33318_1831_00006,6 Allée Jean Ribéreau-Gayon 33600 Pessac,33600,Pessac,33,maison,2013-2021,2016,80.9,C,C,69
2633E1528548U,2026-06-08,,33075_0295_00052,52 Avenue Perier 33520 Bruges,33520,Bruges,33,appartement,2006-2012,,66.3,C,C,72
2633E1535862C,2026-06-08,,33063_7070_00030,30 Rue Paulin 33000 Bordeaux,33000,Bordeaux,33,appartement,1948-1974,,69.4,C,B,164
2633E1530855N,2026-06-08,8VHAP66XKCWZ,33366_0309_00035_bis,35bis Rue de Fonboudeau 33240 Saint-André-de-Cubzac,33240,Saint-André-de-Cubzac,33,appartement,avant 1948,,37.6,E,B,266
2633E1533662M,2026-06-08,695ATSMCSHPK,33522_0725,Rue du 19 Mars 1962 33400 Talence,33400,Talence,33,appartement,2013-2021,2019,41.1,C,C,94
2633E1538525N,2026-06-08,,33284_0177_00062_a,62a Avenue de Verdun 33380 Mios,33380,Mios,33,maison,2006-2012,,88.7,C,A,128
2633E1529872S,2026-06-08,VQR3CTE2BN1P,33192_7692_00001,1 Rue des Mésanges 33170 Gradignan,33170,Gradignan,33,maison,1948-1974,,82,B,A,102
2633E1530263T,2026-06-08,Q84AE6M482Q4,33529_0880,Rue du Docteur Sémiac 33260 La Teste-de-Buch,33260,La Teste-de-Buch,33,appartement,2006-2012,2006,63.4,D,B,247
2633E1533675Z,2026-06-08,,33318_2610_00010,10 Rue de Peybouquey 33600 Pessac,33600,Pessac,33,maison,1948-1974,,89.1,D,D,177
2633E1537608G,2026-06-08,5DZGYWAJ471R,33550_0265_00020,20 Rue Colette Besson 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,appartement,2013-2021,2014,39.5,C,C,89
2633E1529800Y,2026-06-08,,33318_0575_00012,12 Rue des Bouvreuils 33600 Pessac,33600,Pessac,33,maison,2006-2012,,122.8,A,A,39
2633E1538124C,2026-06-08,,33240_0540_00021,21 Rue Eugène Coiffard 33340 Lesparre-Médoc,33340,Lesparre-Médoc,33,maison,1989-2000,,77.9,D,B,247
2633E1536534Y,2026-06-08,ZDJTRWVCB1MH,33522_1285_00010,10 Avenue Georges Lasserre 33400 Talence,33400,Talence,33,appartement,2013-2021,,28.6,C,C,107
2633E1528612G,2026-06-08,,33063_cn7ljv_00210,210 Rue de l'Ecole Normale 33200 Bordeaux,33200,Bordeaux,33,appartement,1948-1974,1959,25.8,E,E,303
2633E1537637J,2026-06-08,WN8KG7TWC1FE,33063_rwn1sj_00017,17 Avenue de la Gare 33200 Bordeaux,33200,Bordeaux,33,appartement,2006-2012,2008,59.6,C,C,135
2633E1529943L,2026-06-08,92HDMYEKRXAF,33219_0200_00010,10 Chemin du Pusquey 33240 La Lande-de-Fronsac,33240,La Lande-de-Fronsac,33,maison,avant 1948,,166,D,C,187
2633E1526048Q,2026-06-08,35QT2VC69CV4,33550_0180_00032,32 Rue Bouche 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,maison,avant 1948,,49.3,E,C,307
2633E1531119R,2026-06-08,VSV8XW1NDGTA,33018_0118_00035,35 Rue de la Gruppe 33240 Val de Virvée,33240,Val de Virvée,33,maison,avant 1948,,413.9,C,A,134
2633E1537417X,2026-06-08,W97K8G75E1NA,33268_0147_00005,5 Chemin du Gondet 33460 Margaux-Cantenac,33460,Margaux-Cantenac,33,maison,avant 1948,,117.3,C,C,152
2633E1530833R,2026-06-08,JWXR2Q5GPQ68,33052_0080_00007,7 Rue du Bocage 33500 Les Billaux,33500,Les Billaux,33,maison,avant 1948,,120,C,C,144
2633E1527227Z,2026-06-08,,33522_2500_00130_bis,130bis Rue de Suzon 33400 Talence,33400,Talence,33,appartement,2006-2012,2010,32.3,C,B,188
2633E1532360K,2026-06-08,6RFAJ9Y8N865,33274_0840_00020,20 Route de Mondet 33650 Martillac,33650,Martillac,33,maison,avant 1948,,56.4,C,B,160
2633E1533558M,2026-06-08,FXGY2E485XZS,33063_6390_00012,12 Rue Minvielle 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,24.9,C,A,175
2633E1531630I,2026-06-08,,33063_8920_00220,220 Avenue Thiers 33100 Bordeaux,33100,Bordeaux,33,appartement,2006-2012,2010,61.2,C,A,151
2633E1538838O,2026-06-08,,33274_1060_00022,22 Route de la Salle 33650 Martillac,33650,Martillac,33,maison,1978-1982,1978,140.3,D,D,150
2633E1528118G,2026-06-08,4PTW15DZ3KRD,33003_0096_00008,8 Rue du Broustey 33440 Ambarès-et-Lagrave,33440,Ambarès-et-Lagrave,33,maison,1983-1988,1986,75.6,D,B,220.7
2633E1526099P,2026-06-08,,33550_2igr62,Résidence Sarcignan 1 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,appartement,1948-1974,,64.9,C,C,140
2633E1538890O,2026-06-08,,33498_0160_00023,23 Chemin du Moulin des Vaches 33770 Salles,33770,Salles,33,maison,1989-2000,,168.6,C,C,127
2633E1538375T,2026-06-08,,33012_0233,Route du Verdon 33460 Arsac,33460,Arsac,33,maison,avant 1948,,81.6,C,A,121
2633E1526163B,2026-06-08,6YZGWRF31TY6,33032_0323_00013,13 Rue de l'Eolienne 33530 Bassens,33530,Bassens,33,appartement,1989-2000,,64.3,C,B,159
2633E1531667T,2026-06-08,,33063_4810_00251,251 Rue Judaïque 33000 Bordeaux,33000,Bordeaux,33,appartement,2006-2012,2011,49.1,C,C,94
2633E1529977T,2026-06-08,VF2BZ24ZK6EF,33227_0995_00005,5 Rue Montaigne 33210 Langon,33210,Langon,33,maison,1948-1974,,80,C,C,108
2633E1533604G,2026-06-08,M2VYYMERVF26,33449_shh8zz_00008,8 Rue Yves du Manoir 33160 Saint-Médard-en-Jalles,33160,Saint-Médard-en-Jalles,33,maison,1948-1974,,100,D,B,180
2633E1536334G,2026-06-08,12Q8MR6R35P7,33063_4540_00021,21 Rue Jardel 33100 Bordeaux,33100,Bordeaux,33,appartement,2006-2012,,59.1,D,D,154
2633E1536217T,2026-06-08,G5R7ZENG2GMM,33318_2942_00069,69 Avenue Roger Chaumet 33600 Pessac,33600,Pessac,33,maison,1948-1974,,79,D,B,187
2633E1534201F,2026-06-08,,33522_1150_00023,23 Cours Gambetta 33400 Talence,33400,Talence,33,appartement,avant 1948,1945,35,E,B,265
2633E1529240K,2026-06-08,,33192_4829_00001,1 Rue de la Croix de Monjous 33170 Gradignan,33170,Gradignan,33,appartement,2006-2012,2011,68.1,C,A,119
2633E1536287L,2026-06-08,PYTJF8DZT1J7,33063_3975_00213,213 Rue Georges Bonnac 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,1900,28.7,E,B,284.1
2633E1533698W,2026-06-08,,33051_0251_00026,26 Rue du Prieuré de Comprian 33380 Biganos,33380,Biganos,33,maison,1948-1974,,116,C,A,152
2633E1537475D,2026-06-08,A7DX6QQM6Q3H,33550_0800_00067,67 Route de Léognan 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,appartement,2013-2021,2015,41.1,C,C,119
2633E1528740E,2026-06-08,S741H3V9DZC2,33167_1252,Avenue Paul Lafargue 33270 Floirac,33270,Floirac,33,appartement,avant 1948,,67.5,C,C,93
2633E1538601L,2026-06-08,13KHZ28B8ZJT,33376_0124_00010,10 Allée Cabernet 33160 Saint-Aubin-de-Médoc,33160,Saint-Aubin-de-Médoc,33,maison,2013-2021,2018,69.6,C,C,75
2633E1536876C,2026-06-08,KQQHPQ7Q17FB,33063_0540_00014,14 Quai de Bacalan 33300 Bordeaux,33300,Bordeaux,33,appartement,1989-2000,,20.9,D,B,278
2633E1536070C,2026-06-08,BWP1SES72EFG,33063_1195_00059,59 Rue de Brach 33000 Bordeaux,33000,Bordeaux,33,maison,avant 1948,,87,D,B,246
2633E1535063J,2026-06-08,,33032_0536_00011,11 Rue du Moura 33530 Bassens,33530,Bassens,33,appartement,2013-2021,2021,65,C,C,86
2633E1528892A,2026-06-08,DR8TNABN6B2P,33069_0450_00009,9 Rue Constant 33110 Le Bouscat,33110,Le Bouscat,33,appartement,2001-2005,2005,76.7,C,C,120
2633E1534991P,2026-06-08,,33177_0064_00007_bis,7bis Rue de la Tour 33340 Gaillan-en-Médoc,33340,Gaillan-en-Médoc,33,maison,2013-2021,,137,A,A,47
2633E1533673X,2026-06-08,DQKY64GD43YY,33281_2250_00012,12 Rue Paul Doumer 33700 Mérignac,33700,Mérignac,33,appartement,1975-1977,1975,22,E,D,301
2633E1531128A,2026-06-08,234BMSA7Y3Y1,33281_0940_00017,17 Rue Fontaine d'Arlac 33700 Mérignac,33700,Mérignac,33,appartement,1983-1988,,31.1,C,A,150
2633E1526982O,2026-06-08,TQS9JMEC1SCD,33318_0295_00016,16 Rue des As 33600 Pessac,33600,Pessac,33,appartement,1989-2000,1999,33.3,C,A,169
2633E1534312M,2026-06-08,5HMFKN1JB5E5,33199_0138,Avenue de Césarée 33470 Gujan-Mestras,33470,Gujan-Mestras,33,appartement,2006-2012,2010,54.1,C,A,136
2633E1530912S,2026-06-08,887J1RP39RE7,33063_1l9yo1_00032,32 Rue Marcelin Berthelot 33200 Bordeaux,33200,Bordeaux,33,immeuble,1983-1988,1985,,C,A,141
2633E1536963L,2026-06-08,AZ2YV4SJ2KGR,33236_ir2gl5_00003,3 Rue des Rossignols 33970 Lège-Cap-Ferret,33970,Lège-Cap-Ferret,33,appartement,1989-2000,1989,40.1,C,A,132
2633E1536112S,2026-06-08,DJ99AGNEWAM1,33281_1930_00134,134 Avenue de la Marne 33700 Mérignac,33700,Mérignac,33,appartement,1989-2000,,51.2,C,B,171
2633E1526351H,2026-06-08,D6XY18RH7251,33293_0012,Route du Bourdieu 33450 Montussan,33450,Montussan,33,appartement,2006-2012,2010,56,C,A,140
2633E1534225D,2026-06-08,QGJE25DVPDCN,33119_1146_00003,3 Rue Gay-Lussac 33150 Cenon,33150,Cenon,33,maison,avant 1948,,135.6,C,C,130
2633E1536762S,2026-06-08,GGBFYX8M3E1T,33063_2470_00030,30 Cité Dasvin de Boismarin 33100 Bordeaux,33100,Bordeaux,33,appartement,avant 1948,,27.9,D,B,216
2633E1533960Y,2026-06-08,NFNZNEBY8J2C,33063_4380_00015,15 Rue Henri Rodel 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,51.8,D,D,201
2633E1532698K,2026-06-08,,33005_0650_00013,13 Avenue du Phare 33510 Andernos-les-Bains,33510,Andernos-les-Bains,33,maison,avant 1948,,66.9,B,A,92
2633E1532282K,2026-06-08,MYDD5QM6G7SM,33063_8790_00051,51 Rue Surson 33300 Bordeaux,33300,Bordeaux,33,appartement,avant 1948,,58.4,B,A,84
2633E1529189L,2026-06-08,2C1XPM2T4N6M,33075_0098_00010,10 Rue de la Colonne 33520 Bruges,33520,Bruges,33,immeuble,1948-1974,,,E,D,259
2633E1536030O,2026-06-08,,33039_0300_00037,37 Chemin Bel Air 33130 Bègles,33130,Bègles,33,appartement,2013-2021,,44.8,C,C,72
2633E1532607X,2026-06-08,EYH6PCJ4V52T,33069_0150_00095,95 Rue Ausone 33110 Le Bouscat,33110,Le Bouscat,33,appartement,2006-2012,2011,42.8,C,C,88
2633E1527772Y,2026-06-08,,33063_wvppj9_00014,14 Rue de l'Eglise 33200 Bordeaux,33200,Bordeaux,33,appartement,1989-2000,1989,47.7,C,A,148
2633E1529789N,2026-06-08,VA6MD2JVNT17,33039_1467_00001,1 Allée Joseph Wresinski 33130 Bègles,33130,Bègles,33,appartement,2013-2021,,43.7,C,C,85
2633E1533269J,2026-06-08,,33075_0035_00025,25 Rue Ausone 33520 Bruges,33520,Bruges,33,immeuble,2006-2012,2010,,C,A,140
2633E1533899P,2026-06-08,TGNBAPDQ2VB3,33550_0533_00001,1 Avenue de la Grande Ile 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,appartement,2013-2021,2018,63.4,C,C,77
2633E1528506E,2026-06-08,,33281_2162_00002,2 Square Nicolas Poussin 33700 Mérignac,33700,Mérignac,33,appartement,1983-1988,,47.7,C,A,153
2633E1537250M,2026-06-08,GN7GFWDKF184,33461_aiktv7_00003,3 Parichon 33350 Saint-Philippe-d'Aiguilhe,33350,Saint-Philippe-d'Aiguilhe,33,maison,1983-1988,,98.6,E,C,305
2633E1532949B,2026-06-08,VV7Z5T5EMPKQ,33075_0210_00010,10 Rue Jean Guerin 33520 Bruges,33520,Bruges,33,maison,1948-1974,1970,83,E,E,287.4
2633E1536915P,2026-06-08,,33281_1865_00006,6 Rue Marcel Pagnol 33700 Mérignac,33700,Mérignac,33,maison,1948-1974,,75,D,D,214
2633E1536650K,2026-06-08,,33063_5030_00099,99 Chemin Lafitte 33300 Bordeaux,33300,Bordeaux,33,maison,avant 1948,,160,B,A,97
2633E1530986O,2026-06-08,FBMPBTX759EX,33063_8265_00004,4 Rue Saint-Jean 33800 Bordeaux,33800,Bordeaux,33,immeuble,avant 1948,,,F,C,412
2633E1536699H,2026-06-08,,33063_4900_00025,25 Rue Kléber 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,67,C,A,138
2633E1527517D,2026-06-08,,33318_3179,Avenue du Stade 33600 Pessac,33600,Pessac,33,immeuble,2006-2012,2009,,C,B,178
2633E1535705B,2026-06-08,,33322_0021,Impasse Bertranot 33290 Le Pian-Médoc,33290,Le Pian-Médoc,33,maison,1983-1988,,140,B,A,80
2633E1525832I,2026-06-08,,33119_0490_00005,5 Rue François Coppee 33150 Cenon,33150,Cenon,33,maison,1989-2000,,74.6,D,D,214
2633E1527493F,2026-06-08,,33273_0137,Rue de Madiran 33127 Martignas-sur-Jalle,33127,Martignas-sur-Jalle,33,maison,1983-1988,,143.8,B,A,71
2633E1533804Y,2026-06-08,NNDVM6D92G72,33550_0265_00021,21 Rue Colette Besson 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,appartement,2013-2021,,59.7,C,C,91
2633E1529009N,2026-06-08,S741H3V9DZC2,33167_1252,Avenue Paul Lafargue 33270 Floirac,33270,Floirac,33,appartement,avant 1948,,68.1,C,C,119
2633E1532268W,2026-06-08,,33063_2110_00008,8 Impasse Clémenceau 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,30.8,E,C,307
2633E1530638E,2026-06-08,QE1C584KRDW5,33063_5220_00061,61 Rue de Laseppe 33000 Bordeaux,33000,Bordeaux,33,appartement,1978-1982,,31.6,C,B,192
2633E1527779F,2026-06-08,,33063_8ajxqk_00068,68 Rue Pasteur 33200 Bordeaux,33200,Bordeaux,33,appartement,1983-1988,,26.4,D,B,254
2633E1536153H,2026-06-08,WD9ND1ZK71YT,33539_0025_00005,5 Rue des Cèdres 33870 Vayres,33870,Vayres,33,maison,1948-1974,,124.6,D,D,243
2633E1533597Z,2026-06-08,,33522_1150_00023,23 Cours Gambetta 33400 Talence,33400,Talence,33,appartement,avant 1948,1945,41,D,B,244
2633E1538293P,2026-06-08,,33211_0011_00005,5 chemin du Bouscarru 33460 Labarde,33460,Labarde,33,maison,avant 1948,,65.6,E,E,236
2633E1537058C,2026-06-08,,33550_0520_00057,57 Avenue Georges Clémenceau 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,appartement,2013-2021,2019,44.8,C,C,105
2633E1531558O,2026-06-08,,33063_4070_00040,40 Boulevard Godard 33300 Bordeaux,33300,Bordeaux,33,appartement,2001-2005,2001,51.6,C,A,127
2633E1532269X,2026-06-08,,33389_0045_00007,7 Rue René Bourda 33820 Saint-Ciers-sur-Gironde,33820,Saint-Ciers-sur-Gironde,33,maison,avant 1948,1900,94.3,E,B,271.3
2633E1529907B,2026-06-08,,33192_9453_00002,2 Rue du Soleil Levant 33170 Gradignan,33170,Gradignan,33,maison,1978-1982,,181.5,D,D,157
2633E1535992C,2026-06-08,,33063_8400_00012,12 Rue Sainte Colombe 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,13.1,C,A,184
2633E1527723B,2026-06-08,,33063_8ajxqk_00068,68 Rue Pasteur 33200 Bordeaux,33200,Bordeaux,33,appartement,1983-1988,,26.4,D,B,254
2633E1531138K,2026-06-08,,33522_2500_00251,251 Rue de Suzon 33400 Talence,33400,Talence,33,appartement,1989-2000,1997,18.5,C,A,174
2633E1530354G,2026-06-08,QE1C584KRDW5,33063_5220_00061,61 Rue de Laseppe 33000 Bordeaux,33000,Bordeaux,33,appartement,1978-1982,,22.9,C,B,216
2633E1539036E,2026-06-08,5DT3MXV37442,33063_9255_00025,25 Rue Vergniaud 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,65,D,B,234
2633E1537763F,2026-06-08,,33314_2780_00004,4 Rue Franklin 33250 Pauillac,33250,Pauillac,33,maison,avant 1948,,94.8,D,D,220
2633E1532062Y,2026-06-08,XTSMMW5Z6HPA,33040_0095_00001,1 Chemin de l'Embarcadère 33410 Béguey,33410,Béguey,33,maison,avant 1948,1800,153,C,A,111.2
2633E1530381H,2026-06-08,,33075_0388_00110_bis,110bis Rue de la Tour de Gassies 33520 Bruges,33520,Bruges,33,maison,2013-2021,2017,114,A,A,51
2633E1537993B,2026-06-08,,33063_7505_00009,9 Rue Pourmann 33300 Bordeaux,33300,Bordeaux,33,appartement,2006-2012,2010,92.7,D,C,181.1
2633E1536905F,2026-06-08,,33063_4810_00013,13 Rue Judaïque 33000 Bordeaux,33000,Bordeaux,33,appartement,2006-2012,2006,56,C,C,110.4
2633E1534961L,2026-06-08,,33522_1560_00068,68 Rue Lamartine 33400 Talence,33400,Talence,33,appartement,1989-2000,,43.5,D,B,237
2633E1535020S,2026-06-08,,33448_1235_00059,59 avenue de l'Esteyrolle 33650 Saint-Médard-d'Eyrans,33650,Saint-Médard-d'Eyrans,33,appartement,1948-1974,,25,D,B,269
2633E1537675V,2026-06-08,,33063_2840_00126,126 Rue Dubourdieu 33800 Bordeaux,33800,Bordeaux,33,appartement,1989-2000,,18.5,C,A,180
2633E1537116I,2026-06-08,,33063_6995_00013,13 Rue Paul Antin 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,33.4,F,C,345
2633E1530741D,2026-06-08,9YWNBHMRN1RQ,33522_0995_00007,7 Rue Fenelon 33400 Talence,33400,Talence,33,appartement,1948-1974,,96.7,C,C,106
2633E1536260K,2026-06-08,,33022_0165_00031,31 Chemin de la Gare 33480 Avensan,33480,Avensan,33,maison,1948-1974,,66,G,F,508
2633E1538746A,2026-06-08,,33063_1560_00025,25 Rue Carbonneau 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,97.1,E,E,288
2633E1535805X,2026-06-08,S99D63K2WB95,33063_2050_00088,88 Rue Chevalier 33000 Bordeaux,33000,Bordeaux,33,appartement,1989-2000,,55.5,C,C,125
